portfolio,property,address,utility_type,unit,period_number,period_start,period_end,consumption
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,7,2025-03-26,2025-04-24,524.8
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,8,2025-04-25,2025-05-24,131.2
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,9,2025-05-25,2025-06-23,0.0
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,10,2025-06-24,2025-07-23,255.97
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,11,2025-07-24,2025-08-22,89.03
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,12,2025-08-23,2025-09-21,0.0
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,13,2025-09-22,2025-10-21,224.9
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,14,2025-10-22,2025-11-20,107.1
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,15,2025-11-21,2025-12-20,0.0
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,16,2025-12-21,2026-01-19,212.06
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,17,2026-01-20,2026-02-18,133.94
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,18,2026-02-19,2026-03-20,0.0
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,19,2026-03-21,2026-04-19,240.03
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,20,2026-04-20,2026-05-19,138.97
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,21,2026-05-20,2026-06-18,0.0
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,22,2026-06-19,2026-07-18,0.0
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,23,2026-07-19,2026-08-17,0.0
Colliers,136 Madison Ave,"136 Madison Ave, New York, NY",Water,ccf,24,2026-08-18,2026-09-16,0.0
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,1,2024-09-27,2024-10-26,451269.47
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,2,2024-10-27,2024-11-25,508745.3
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,3,2024-11-26,2024-12-25,463861.12
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,4,2024-12-26,2025-01-24,475749.48
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,5,2025-01-25,2025-02-23,489270.98
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,6,2025-02-24,2025-03-25,435321.73
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,7,2025-03-26,2025-04-24,457026.92
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,8,2025-04-25,2025-05-24,459679.15
Colliers,28-40 W 23rd St,"28-40 W 23rd St, New York, NY",Electricity,kWh,9,2025-05-25,2025-06-23,563861.95
